Household_ID,Country,Energy_Source,Monthly_Usage_kWh,Year,Household_Size,Income_Level,Urban_Rural,Adoption_Year,Subsidy_Received,Cost_Savings_USD
H01502,USA,Hydro,1043.49,2024,5,Low,Urban,2012,No,10.46
H02587,Australia,Geothermal,610.01,2024,4,High,Rural,2023,No,43.49
H02654,USA,Biomass,1196.75,2024,8,Low,Rural,2017,Yes,93.28
H01056,Colombia,Biomass,629.67,2024,7,High,Urban,2023,No,472.85
H00706,Egypt,Hydro,274.46,2022,7,Middle,Rural,2010,No,65.98
H00107,Brazil,Biomass,375.99,2022,2,High,Urban,2011,No,20.93
H00590,Ghana,Geothermal,547.5,2020,8,High,Rural,2012,Yes,21.99
H02469,New Zealand,Geothermal,759.23,2024,4,Low,Urban,2020,Yes,127.02
H02414,Peru,Biomass,571.7,2021,6,Low,Rural,2021,Yes,199.2
H01601,Argentina,Geothermal,851.77,2023,8,High,Urban,2019,Yes,108.09
H02465,Germany,Wind,385.35,2024,8,Middle,Urban,2018,No,190.91
H00229,France,Hydro,1315.9,2023,7,Middle,Rural,2015,Yes,309.88
H00916,South Korea,Wind,60.12,2020,5,Middle,Rural,2019,Yes,445.11
H00795,Chile,Geothermal,1001.42,2021,8,Middle,Urban,2021,Yes,483.41
H03022,Ghana,Biomass,1349.51,2020,2,Low,Rural,2012,Yes,340.29
H03544,South Africa,Geothermal,764.42,2022,7,High,Rural,2022,No,391.14
H01074,India,Wind,745.47,2024,5,Low,Urban,2010,Yes,378.25
H03352,Indonesia,Hydro,598.71,2022,3,High,Rural,2012,Yes,181.65
H01745,China,Wind,733.7,2022,3,Low,Rural,2019,Yes,168.73
H01085,Spain,Solar,336.45,2022,2,High,Rural,2013,No,489.73
H00927,New Zealand,Solar,880.87,2024,4,Middle,Urban,2020,No,483.96
H03050,Ghana,Solar,1311.18,2020,1,High,Rural,2018,No,88.96
H01118,Italy,Hydro,130.66,2021,4,Middle,Urban,2010,No,420.79
H00643,Indonesia,Solar,124.44,2020,6,High,Rural,2013,Yes,217.69
H04768,Italy,Wind,1377.88,2023,4,Low,Rural,2020,Yes,228.95
H00502,Ghana,Biomass,59.94,2020,8,Middle,Rural,2014,Yes,14.19
H04067,Nigeria,Geothermal,1185.31,2022,7,High,Urban,2014,Yes,25.91
H00334,USA,Solar,496.13,2020,3,High,Urban,2011,Yes,305.75
H04685,Egypt,Wind,1313.73,2020,8,High,Rural,2014,No,38.77
H00487,Colombia,Hydro,1212.39,2023,8,High,Rural,2023,No,349.67
H01963,Argentina,Wind,632.76,2023,6,Low,Rural,2010,No,47.87
H00394,Australia,Wind,1062.08,2022,5,Middle,Urban,2015,No,84.08
H04843,Germany,Geothermal,1003.4,2023,1,Low,Rural,2019,Yes,168.1
H04867,Colombia,Solar,1311.28,2023,6,Low,Rural,2019,Yes,467.23
H01756,Kenya,Solar,1363.84,2021,1,Low,Rural,2021,Yes,49.93
H02516,Japan,Biomass,1237.8,2021,8,Low,Urban,2020,No,310.58
H03586,Japan,Hydro,367.1,2020,6,High,Rural,2014,Yes,27.82
H04316,Australia,Biomass,128.28,2020,3,Middle,Urban,2015,Yes,135.61
H04967,New Zealand,Solar,396.76,2020,5,High,Urban,2014,No,392.42
H02100,USA,Biomass,228.6,2024,2,High,Rural,2014,Yes,186.42
H03600,Canada,Solar,1450.44,2023,1,Low,Rural,2019,No,134.22
H04122,Japan,Solar,1352.55,2022,4,Low,Urban,2017,Yes,143.43
H00030,New Zealand,Geothermal,1213.95,2024,5,High,Urban,2016,No,312.68
H00066,Kenya,Solar,1468.33,2023,1,High,Rural,2010,Yes,156.85
H00839,Mexico,Solar,138.11,2022,2,High,Rural,2013,No,218.23
H03907,Australia,Biomass,1190.76,2022,4,Middle,Rural,2011,Yes,155.12
H03774,Japan,Geothermal,508.24,2021,8,Low,Rural,2014,Yes,370.51
H04636,Australia,Geothermal,479.92,2022,6,High,Urban,2011,Yes,158.06
H03162,USA,Solar,286.32,2020,3,Low,Urban,2020,Yes,434.88
H02660,Kenya,Geothermal,889.87,2024,4,Middle,Rural,2020,No,234.43
H04616,France,Hydro,1413.96,2024,1,Middle,Rural,2011,Yes,324.11
H04629,UK,Wind,505.08,2020,8,Low,Urban,2015,Yes,101.53
H02452,France,Biomass,257.72,2024,2,Low,Rural,2012,Yes,135.01
H02847,Egypt,Wind,321.96,2024,2,Middle,Urban,2021,No,274.07
H01145,Ghana,Wind,659.74,2020,1,Middle,Urban,2011,No,408.35
H03079,USA,Biomass,1343.62,2023,7,High,Rural,2021,No,268.8
H01104,Australia,Solar,446.89,2024,8,High,Urban,2017,Yes,426.87
H00169,India,Biomass,1138.1,2023,2,Middle,Urban,2021,No,27.22
H01671,UK,Wind,565.18,2021,6,High,Urban,2015,Yes,396.74
H02571,South Africa,Solar,1367.76,2021,2,Low,Urban,2011,Yes,372.64
H02378,USA,Solar,97.28,2022,7,Low,Rural,2012,No,323.83
H04396,France,Hydro,92.4,2021,6,Low,Urban,2010,No,249.18
H04258,India,Geothermal,573.54,2023,1,Middle,Urban,2018,No,139.96
H03863,USA,Wind,225.32,2023,2,Low,Rural,2012,No,231.42
H00024,Chile,Geothermal,552.34,2023,2,Low,Rural,2014,Yes,325.75
H02634,Colombia,Biomass,938.79,2022,4,Low,Urban,2021,Yes,432.85
H03341,Germany,Hydro,158.61,2023,1,Low,Rural,2019,Yes,202.18
H02216,Colombia,Wind,1107.13,2022,2,Middle,Rural,2016,Yes,119.49
H03683,India,Solar,1472.46,2023,2,Middle,Rural,2013,No,78.66
H04725,New Zealand,Solar,915.26,2020,6,Middle,Rural,2014,Yes,238.18
H01908,Peru,Geothermal,1487.76,2023,7,High,Urban,2023,Yes,278.7
H00085,Brazil,Geothermal,1067.49,2023,6,High,Urban,2022,Yes,148.85
H00228,Peru,Geothermal,262.1,2022,6,High,Rural,2011,No,34.94
H00297,India,Wind,353.84,2021,8,Middle,Urban,2013,No,447.73
H01002,Chile,Biomass,141.67,2020,7,Middle,Rural,2018,No,336.72
H02139,India,Solar,480.38,2023,3,Middle,Urban,2013,No,312.34
H00712,Ghana,Wind,1070.46,2024,6,Low,Rural,2023,No,435.48
H02802,Kenya,Hydro,362.72,2020,4,Low,Rural,2020,Yes,437.57
H02528,France,Wind,1014.23,2023,1,High,Urban,2023,No,388.25
H03753,Italy,Biomass,173.5,2020,8,Low,Urban,2018,Yes,426.4
H03322,Mexico,Geothermal,1315.86,2021,1,Middle,Urban,2010,No,406.14
H03182,Brazil,Wind,290.7,2021,3,Low,Rural,2014,Yes,31.15
H04184,South Korea,Solar,1346.3,2023,3,Low,Urban,2021,Yes,439.83
H01616,USA,Wind,517.87,2023,1,Low,Rural,2019,Yes,226.61
H03025,Peru,Geothermal,620.95,2021,4,High,Rural,2014,Yes,210.43
H01414,Peru,Solar,755.88,2020,1,High,Rural,2016,No,94.79
H00764,Spain,Biomass,1336.27,2022,6,Low,Urban,2015,No,216.19
H00656,Spain,Wind,801.46,2021,2,High,Urban,2018,No,403.96
H04798,Peru,Wind,1181.83,2020,8,Low,Urban,2012,No,230.34
H03850,Chile,Hydro,508.47,2024,2,Low,Urban,2014,Yes,394.27
H04154,Indonesia,Hydro,1131.03,2024,6,Middle,Urban,2020,Yes,242.41
H00469,Mexico,Biomass,1337.29,2021,8,High,Rural,2013,No,72.06
H00158,Canada,Geothermal,312.43,2024,6,Middle,Rural,2022,Yes,290.55
H01296,Canada,Solar,1086.7,2024,4,Low,Urban,2012,No,349.26
H00498,Egypt,Biomass,1377.82,2023,5,Middle,Urban,2019,No,190.78
H04741,Japan,Solar,195.58,2020,1,Middle,Rural,2013,No,29.13
H02941,Mexico,Biomass,1359.83,2020,3,Middle,Rural,2018,Yes,67.58
H03457,Spain,Wind,790.41,2024,7,Middle,Rural,2015,Yes,467.87
H00374,Brazil,Biomass,783.83,2022,2,Low,Urban,2011,Yes,373.55
H00080,Indonesia,Geothermal,1199.26,2020,3,Middle,Urban,2013,Yes,446.3
H01554,UK,Solar,617.86,2022,2,High,Rural,2011,No,59.81
H01670,Nigeria,Biomass,56.77,2021,7,Low,Rural,2019,Yes,346.91
H02132,Peru,Solar,349.19,2023,8,Middle,Rural,2018,No,291.84
H04440,USA,Biomass,126.98,2021,5,Low,Urban,2015,No,188.27
H00466,Italy,Hydro,1380.58,2023,7,Low,Rural,2022,Yes,477.47
H00249,USA,Wind,1148.49,2024,7,High,Urban,2011,Yes,230.07
H00932,Ghana,Biomass,275.6,2021,3,Middle,Urban,2010,No,334.9
H01336,Argentina,Biomass,657.47,2024,8,High,Rural,2013,Yes,174.62
H04525,Chile,Wind,68.97,2021,7,High,Urban,2021,No,222.89
H01339,Colombia,Hydro,397.97,2024,5,Low,Urban,2022,Yes,164.82
H01407,France,Geothermal,1404.65,2020,6,High,Rural,2012,Yes,240.32
H01091,Indonesia,Hydro,120.82,2022,6,High,Rural,2010,Yes,170
H04210,Australia,Biomass,685.94,2023,4,Middle,Urban,2021,Yes,370.77
H00743,Australia,Wind,87.36,2024,3,Middle,Urban,2023,Yes,295.17
H02324,China,Wind,589.71,2021,5,Middle,Rural,2017,Yes,450.44
H03602,New Zealand,Wind,725.7,2022,7,High,Rural,2015,No,180.48
H02124,Australia,Wind,327.66,2021,5,Middle,Urban,2015,No,261.31
H02095,Canada,Hydro,288.77,2020,8,High,Rural,2017,Yes,247.52
H00241,Ghana,Hydro,539.38,2023,3,High,Urban,2021,No,395.61
H02352,Mexico,Solar,539.33,2024,5,Middle,Urban,2010,Yes,239.05
H01371,India,Wind,1277.1,2022,1,Low,Rural,2014,Yes,407.61
H01058,South Korea,Solar,928.64,2020,7,Middle,Rural,2017,No,254.12
H04817,Egypt,Solar,370.61,2021,1,Middle,Rural,2017,Yes,472.89
H00200,Indonesia,Hydro,1365.93,2022,6,Low,Urban,2017,Yes,73.2
H02281,USA,Solar,573.27,2020,7,High,Urban,2019,No,205.23
H04750,USA,Hydro,484.11,2022,8,Low,Rural,2013,No,119.54
H02221,UK,Solar,682.51,2020,3,Middle,Rural,2016,No,47.93
H04772,Ghana,Biomass,645.39,2020,3,High,Urban,2012,No,231.35
H02820,Spain,Biomass,1304.44,2023,6,High,Rural,2014,Yes,214.29
H03151,Brazil,Hydro,490.87,2022,5,Low,Rural,2021,Yes,70.79
H04257,South Africa,Wind,1489.82,2020,5,Middle,Urban,2017,No,490.12
H03108,Canada,Biomass,619.75,2022,7,High,Urban,2012,No,104.69
H01974,Spain,Biomass,429.18,2021,7,Middle,Urban,2016,No,120.5
H01376,New Zealand,Solar,308.49,2020,7,High,Urban,2011,Yes,337.7
H03969,New Zealand,Geothermal,665.01,2020,2,Low,Rural,2020,Yes,497.64
H04063,Brazil,Solar,1093.44,2022,2,Middle,Rural,2016,No,281.95
H04446,Spain,Hydro,493.6,2022,5,High,Urban,2010,Yes,321.36
H03558,Japan,Biomass,983.71,2023,4,High,Rural,2011,No,59.34
H00965,Argentina,Biomass,1457.1,2022,6,High,Rural,2020,No,243.14
H00180,USA,Geothermal,75.48,2022,5,Middle,Rural,2010,Yes,292.48
H03699,Brazil,Hydro,1308.61,2023,7,High,Rural,2013,No,38.66
H03822,South Korea,Wind,1479.75,2021,2,Low,Urban,2011,No,463.78
H04879,New Zealand,Hydro,305.57,2021,5,Middle,Rural,2012,No,149.72
H03900,Ghana,Solar,878.96,2021,1,High,Rural,2014,Yes,357.61
H04488,Brazil,Biomass,602.44,2020,5,Low,Rural,2013,Yes,460.76
H03239,Ghana,Biomass,431.34,2024,3,High,Urban,2019,Yes,340.09
H02975,South Korea,Wind,195.3,2022,3,High,Rural,2016,No,132.92
H03581,Mexico,Biomass,157.2,2021,4,Low,Rural,2017,Yes,321.34
H02888,China,Geothermal,1457.7,2020,1,Middle,Urban,2019,Yes,422.2
H02576,Japan,Geothermal,473.01,2020,5,High,Rural,2015,No,102.69
H01420,Australia,Geothermal,940.32,2021,7,Middle,Rural,2014,No,323.03
H03908,Australia,Biomass,1427.43,2022,8,Middle,Rural,2010,Yes,80.32
H04674,Japan,Biomass,298.6,2022,6,Middle,Rural,2016,No,108.45
H04903,Colombia,Biomass,600.31,2022,1,Low,Urban,2012,Yes,18.8
H01861,Spain,Biomass,1099.42,2021,6,Middle,Urban,2014,No,107.82
H00009,Canada,Solar,524.26,2021,1,Low,Urban,2011,No,163.98
H02895,Canada,Wind,206.02,2020,5,High,Rural,2016,No,417.95
H02848,Argentina,Biomass,188.5,2021,5,Middle,Urban,2017,No,335.72
H03665,Spain,Biomass,748.91,2022,4,High,Rural,2019,Yes,363.23
H00145,New Zealand,Hydro,759.41,2020,4,Low,Urban,2010,Yes,170.76
H02105,South Korea,Geothermal,300.42,2020,4,Low,Rural,2015,No,10.46
H03144,Egypt,Geothermal,1477.01,2020,4,Middle,Rural,2015,Yes,16.2
H00842,France,Wind,1122.91,2024,2,Low,Urban,2020,Yes,105.34
H01129,Spain,Geothermal,1322.08,2023,4,Middle,Rural,2017,Yes,396.55
H00152,Colombia,Wind,1347.12,2022,6,Middle,Urban,2014,No,253.14
H03592,Argentina,Wind,1204.33,2020,5,Low,Urban,2013,Yes,426.44
H01053,India,Solar,691.98,2021,2,Low,Urban,2018,No,431.92
H01591,Egypt,Wind,1190.35,2020,2,High,Rural,2010,Yes,375.89
H03009,Peru,Hydro,980.81,2021,1,High,Rural,2014,Yes,348.75
H02030,Canada,Wind,442.81,2023,7,Low,Rural,2020,No,424.1
H03419,Colombia,Geothermal,768.12,2021,6,Middle,Urban,2014,Yes,387.81
H01808,Canada,Hydro,143.44,2022,4,Low,Urban,2022,No,269.71
H02697,Canada,Biomass,1439.77,2021,4,Low,Rural,2021,No,398.44
H03040,Peru,Solar,99.95,2022,3,Middle,Rural,2018,No,378.59
H00473,Argentina,Wind,1245.99,2023,7,Low,Urban,2014,Yes,243.14
H03290,Ghana,Hydro,348.69,2022,7,High,Urban,2017,Yes,405.3
H04075,USA,Wind,482.53,2022,1,High,Urban,2016,No,139.24
H03497,Ghana,Wind,1204.33,2022,5,Low,Rural,2018,Yes,309.6
H00280,Australia,Solar,161.1,2021,8,High,Rural,2014,No,185.25
H01742,China,Hydro,150.6,2021,5,Middle,Rural,2010,No,375.9
H04625,Ghana,Solar,656.74,2020,6,Low,Urban,2010,Yes,466.53
H02887,Mexico,Solar,858.65,2022,6,Middle,Rural,2010,No,490.87
H01942,Canada,Geothermal,1288.23,2020,3,Middle,Rural,2015,Yes,124.4
H00101,Canada,Hydro,514,2021,2,High,Rural,2014,No,191.36
H02805,Australia,Hydro,1139.52,2020,1,High,Urban,2012,No,78.2
H03571,Japan,Solar,917.53,2022,3,Low,Rural,2010,Yes,371.04
H03685,Indonesia,Hydro,1189.18,2020,6,Low,Urban,2014,No,261.48
H03662,Canada,Hydro,1196.7,2022,3,Middle,Urban,2014,No,164.57
H00531,Japan,Solar,991.34,2023,2,High,Rural,2015,No,483.79
H01887,Italy,Biomass,1237.14,2024,5,Middle,Urban,2012,No,363.87
H00682,Australia,Wind,330.02,2024,5,Middle,Urban,2018,Yes,299.95
H03795,USA,Solar,1105.8,2022,7,Middle,Urban,2019,No,386.36
H03945,Canada,Wind,248.02,2021,1,High,Rural,2015,No,45.92
H04667,New Zealand,Hydro,412.84,2022,1,High,Urban,2011,No,499.53
H02019,Mexico,Solar,1014.85,2022,1,High,Rural,2022,No,182.93
H01097,Australia,Wind,617.8,2024,2,Middle,Rural,2015,No,453.2
H00830,Germany,Wind,810.14,2020,6,Low,Urban,2011,Yes,251.37
H02806,Colombia,Hydro,543.08,2021,6,Middle,Rural,2017,Yes,28.77
H03830,Peru,Solar,1358.1,2023,7,Middle,Urban,2013,Yes,181.69
H04382,Canada,Biomass,402.76,2022,6,Middle,Urban,2021,No,393.17
H03892,Indonesia,Biomass,856.3,2020,5,Middle,Urban,2017,Yes,84.45
H00765,Australia,Hydro,1291.72,2022,4,Low,Rural,2020,Yes,114.67
H02768,Colombia,Solar,1305.62,2021,4,High,Urban,2010,Yes,212.16
H04329,South Africa,Wind,991.41,2022,5,Low,Rural,2020,Yes,414.42
H03296,Mexico,Biomass,936.5,2022,8,High,Rural,2022,Yes,131.42
H02195,Mexico,Biomass,605.54,2023,5,Low,Rural,2012,Yes,28.81
H02358,New Zealand,Solar,336.67,2024,4,High,Urban,2016,No,323.93
H03426,Ghana,Biomass,649.48,2022,1,Low,Urban,2012,Yes,369
H03980,Germany,Biomass,1389.41,2024,8,High,Urban,2020,No,141.18
H00912,Canada,Solar,366.66,2024,7,Middle,Rural,2022,No,75.84
H03146,Australia,Wind,1463.07,2020,6,Middle,Urban,2018,Yes,495.81
H01000,Australia,Hydro,824.46,2024,2,Middle,Rural,2017,No,137.17
H03654,Australia,Hydro,820.82,2023,2,High,Urban,2016,No,345.47
H02484,India,Geothermal,634.36,2023,5,High,Rural,2022,Yes,93.87
H04077,Spain,Wind,1178.89,2022,5,Low,Urban,2015,Yes,279.53
H02371,Kenya,Wind,436.7,2022,2,Low,Rural,2014,Yes,34.98
H04839,Nigeria,Hydro,688.03,2024,3,Middle,Urban,2016,No,43.2
H00034,Japan,Biomass,227.55,2022,2,High,Urban,2010,No,285.05
H03790,Chile,Solar,206.02,2021,5,High,Urban,2021,No,134.83
H01021,USA,Geothermal,1406.89,2024,5,Low,Rural,2021,Yes,108.08
H01648,Indonesia,Biomass,1086.68,2023,1,High,Rural,2023,No,235.96
H00734,China,Solar,297.93,2024,3,Low,Urban,2014,No,82.17
H04583,Colombia,Hydro,1450.34,2023,6,Low,Urban,2019,No,417.6
H03275,Egypt,Solar,964.18,2020,8,Middle,Urban,2011,No,426.43
H01621,Japan,Wind,438.89,2022,1,Low,Rural,2020,No,72.15
H03136,Australia,Hydro,723.04,2023,5,Low,Urban,2023,Yes,494.05
H02690,Nigeria,Hydro,1300.37,2023,4,Low,Rural,2023,No,456.18
H02708,Peru,Wind,50.83,2022,3,Middle,Urban,2014,No,371.3
H00298,Indonesia,Biomass,834.24,2023,8,Low,Rural,2018,No,309.85
H02340,Australia,Hydro,1044.26,2024,4,Low,Urban,2013,Yes,204.81
H00654,Ghana,Solar,1055.41,2021,3,Low,Rural,2014,Yes,309.72
H03775,Australia,Solar,327.32,2024,2,High,Urban,2024,No,107.67
H01256,Australia,Wind,1204.9,2023,5,Low,Urban,2011,No,440.7
H04521,France,Hydro,688.75,2021,2,High,Rural,2010,Yes,166.82
H00231,India,Geothermal,757.05,2024,8,Low,Rural,2017,No,171.49
H03277,Nigeria,Biomass,1418.5,2020,3,Middle,Urban,2012,No,33.3
H03231,Kenya,Biomass,171,2023,6,Low,Rural,2018,Yes,451.73
H00692,Australia,Wind,949.12,2020,7,Low,Rural,2012,No,39.66
H02755,Australia,Biomass,1303.48,2022,6,Middle,Urban,2021,No,336.09
H04864,Colombia,Solar,1119.57,2023,7,Middle,Urban,2015,Yes,352.97
H00970,Chile,Biomass,1106.35,2024,8,High,Urban,2021,No,480.46
H00634,Peru,Biomass,1220.52,2021,1,Low,Rural,2017,No,483.75
H04093,Japan,Biomass,1249.39,2022,3,High,Rural,2022,Yes,109.33
H04078,South Africa,Geothermal,401.68,2022,6,Low,Urban,2014,Yes,18.18
H01322,Chile,Wind,169.12,2023,4,Low,Rural,2013,No,477.7
H01832,Italy,Wind,452.9,2024,1,Low,Rural,2020,Yes,45.42
H02179,Japan,Biomass,59.86,2022,4,High,Rural,2016,No,176.06
H01418,UK,Biomass,636.26,2024,7,High,Urban,2024,Yes,186.07
H01783,UK,Geothermal,934.34,2023,7,Low,Rural,2020,Yes,88.55
H04716,Kenya,Wind,386.31,2022,7,Low,Rural,2010,No,259.3
H04702,Japan,Solar,722.37,2022,6,Low,Rural,2022,No,33.46
H04119,China,Geothermal,650.58,2023,7,High,Urban,2015,No,44.83
H01653,South Korea,Hydro,927.42,2021,7,Middle,Urban,2015,Yes,131.94
H01484,France,Geothermal,232.61,2021,4,High,Urban,2017,No,297.03
H02276,South Korea,Geothermal,506.99,2024,7,Middle,Urban,2012,Yes,420.11
H00878,Canada,Solar,63.29,2023,5,High,Urban,2015,No,367.6
H03526,Australia,Wind,1260.31,2020,8,High,Urban,2020,Yes,115.19
H02017,New Zealand,Hydro,1130.75,2022,3,Low,Rural,2019,No,277.13
H00427,Egypt,Geothermal,121.61,2024,7,Middle,Rural,2014,No,55.92
H00627,France,Biomass,987.68,2024,2,Low,Rural,2012,No,36.15
H01590,Canada,Geothermal,1204.29,2021,4,Middle,Urban,2013,Yes,221
H02224,USA,Wind,104.48,2020,2,Middle,Rural,2015,Yes,411.86
H02218,Chile,Wind,671.85,2023,3,Low,Urban,2018,Yes,288.2
H04484,South Africa,Solar,1348.59,2022,1,Middle,Rural,2018,No,198.37
H01486,USA,Geothermal,1346.71,2020,7,High,Rural,2020,Yes,444.98
H01740,Australia,Hydro,493.52,2020,8,Low,Urban,2012,Yes,94.78
H02481,Nigeria,Hydro,814.9,2021,3,High,Urban,2016,No,144.24
H02585,France,Wind,1051.38,2021,6,Low,Rural,2010,Yes,103.64
H02894,Peru,Hydro,1356.79,2022,1,Middle,Rural,2019,No,140.64
H00150,France,Geothermal,896.84,2022,8,Low,Urban,2021,No,153.08
H00677,Argentina,Biomass,788.91,2022,7,Middle,Rural,2013,No,227.15
H01262,Brazil,Biomass,1016.87,2020,5,High,Rural,2013,Yes,458.14
H04918,India,Wind,636.58,2020,2,High,Urban,2019,No,342.99
H00013,Canada,Biomass,1052.19,2022,2,High,Rural,2010,No,350.96
H01834,New Zealand,Hydro,630.46,2023,5,Middle,Urban,2022,No,156.42
H03249,South Africa,Geothermal,743.76,2024,4,Low,Rural,2016,No,283.81
H01492,Brazil,Wind,923.41,2023,5,High,Urban,2014,Yes,88.55
H02728,Italy,Hydro,962.13,2020,2,Low,Urban,2015,No,24.26
H03687,UK,Wind,1226.99,2021,2,Low,Urban,2020,No,224.67
H01425,Spain,Wind,863.6,2023,4,Middle,Urban,2018,No,186.74
H04606,South Africa,Geothermal,102.88,2023,6,High,Urban,2021,Yes,320.09
H04596,Mexico,Hydro,139.37,2020,3,High,Urban,2019,No,184.84
H00732,South Korea,Geothermal,247.39,2020,2,High,Urban,2016,Yes,218.29
H01232,Canada,Geothermal,541.42,2023,2,High,Urban,2021,No,91.75
H01635,New Zealand,Wind,435.98,2021,7,Low,Rural,2020,Yes,470.71
H03937,South Korea,Biomass,1069.45,2020,6,Middle,Rural,2012,No,42.4
H01211,Canada,Hydro,189.94,2023,4,Low,Urban,2023,No,242.27
H03269,Nigeria,Wind,753.77,2024,1,Middle,Rural,2018,No,384.41
H01935,UK,Hydro,970.06,2021,4,High,Rural,2010,No,135.49
H00554,USA,Solar,1074.95,2020,3,Low,Urban,2014,Yes,71.74
H00492,Australia,Biomass,441.12,2023,5,High,Urban,2017,Yes,289.05
H02963,Japan,Wind,1069.03,2020,4,Low,Rural,2015,No,448.16
H02330,Egypt,Hydro,1334.84,2024,2,Low,Rural,2017,Yes,288.19
H02196,Ghana,Wind,666.08,2021,3,Low,Rural,2012,Yes,484.71
H03065,India,Wind,303.95,2024,6,Middle,Rural,2024,No,173.17
H00658,Ghana,Hydro,482.54,2023,4,High,Rural,2023,No,178.6
H02375,Australia,Hydro,352.75,2023,2,High,Urban,2021,Yes,48.68
H02226,Germany,Hydro,564.89,2023,7,Middle,Urban,2016,Yes,466.41
H04265,Brazil,Biomass,311.03,2020,6,Middle,Rural,2017,No,376.79
H01171,New Zealand,Geothermal,1462.29,2020,6,Middle,Rural,2010,Yes,62.87
H00133,France,Geothermal,1239.31,2023,1,Low,Urban,2021,No,438.38
H00472,Ghana,Wind,66.76,2020,8,Middle,Urban,2016,Yes,236.27
H03226,Spain,Wind,791.42,2020,3,Middle,Urban,2017,No,401.91
H01406,USA,Solar,1213.31,2023,3,High,Rural,2013,Yes,261.36
H02877,Chile,Wind,223.27,2020,1,High,Rural,2012,Yes,133.06
H04505,Canada,Solar,732.01,2023,2,Middle,Urban,2020,No,277.2
H04693,New Zealand,Geothermal,480.34,2023,3,Middle,Rural,2016,Yes,423.31
H02827,Spain,Wind,1363.93,2024,5,Middle,Rural,2019,No,316.91
H00288,France,Hydro,682,2022,1,Low,Urban,2010,Yes,435.15
H01870,Canada,Geothermal,637.15,2021,1,Low,Rural,2018,No,163.19
H03115,New Zealand,Biomass,1292.66,2024,1,Low,Urban,2010,Yes,12.59
H03626,Spain,Hydro,976.96,2022,4,Middle,Rural,2016,Yes,278.54
H02313,Colombia,Solar,1111.49,2024,1,Middle,Rural,2017,Yes,428.61
H04924,Spain,Hydro,624.94,2022,6,High,Urban,2016,Yes,34.12
H01619,UK,Wind,1182.96,2021,8,Low,Rural,2019,No,285.45
H00995,Kenya,Geothermal,273.13,2024,5,Middle,Rural,2015,No,144.18
H01804,New Zealand,Hydro,143.22,2022,4,High,Rural,2019,Yes,427.53
H02643,USA,Geothermal,971.3,2023,6,Middle,Urban,2014,No,22.58
H04803,Canada,Wind,1269.33,2023,4,Low,Urban,2018,No,45.36
H03536,India,Biomass,1184.46,2021,8,Low,Rural,2017,No,404.76
H04832,Nigeria,Biomass,67.68,2024,7,Middle,Rural,2024,No,142.29
H03912,Spain,Wind,1401.59,2022,2,Low,Urban,2019,No,301.45
H02108,Italy,Solar,339.85,2023,3,Low,Rural,2020,Yes,415.95
H03045,Chile,Biomass,1068.06,2020,1,High,Urban,2015,No,56.41
H00417,South Africa,Solar,1497.34,2023,5,Low,Rural,2021,No,235.99
H00978,China,Wind,662.8,2022,1,Low,Rural,2014,No,346.03
H02418,Brazil,Wind,1032.68,2023,8,High,Urban,2019,No,246.73
H00506,Colombia,Hydro,514.99,2022,3,Middle,Urban,2017,Yes,231.11
H04153,Ghana,Hydro,1464.6,2023,7,Middle,Urban,2022,No,414.96
H04256,Australia,Biomass,452.94,2020,6,High,Urban,2017,No,388.41
H03942,Australia,Solar,997.6,2024,7,High,Rural,2012,No,399.65
H00415,Japan,Solar,973.66,2023,5,Low,Urban,2018,Yes,176.22
H04149,Egypt,Hydro,777.98,2022,8,Middle,Urban,2013,Yes,29.8
H01184,Peru,Hydro,650.14,2022,5,Middle,Urban,2013,Yes,67.96
